Start	End	Type	Weight
Lai Chau	Son La	0	1
Lai Chau	Yen Bai	0	1
Lai Chau	Lao Cai	0	1
Lao Cai	Yen Bai	0	1
Lao Cai	Ha Giang	0	1
Dien Bien	Son La	0	1
Dien Bien	Lai Chau	0	1
Yen Bai	Phu Tho	0	1
Yen Bai	Ha Giang	0	1
Yen Bai	Tuyen Quang	0	1
Son La	Yen Bai	0	1
Son La	Hoa Binh	0	1
Ha Giang	Cao Bang	0	1
Tuyen Quang	Bac Can	0	1
Tuyen Quang	Ha Giang	0	1
Tuyen Quang	Thai Nguyen	0	1
Bac Can	Cao Bang	0	1
Lang Son	Bac Can	0	1
Lang Son	Cao Bang	0	1
Phu Tho	Tuyen Quang	0	1
Phu Tho	Vinh Phuc	0	1
Phu Tho	Ha Noi	0	1
Phu Tho	Hoa Binh	0	1
Phu Tho	Son La	0	1
Quang Ninh	Bac Giang	0	1
Quang Ninh	Lang Son	0	1
Hoa Binh	Thanh Hoa	0	1
Hoa Binh	Ninh Binh	0	1
Hoa Binh	Ha Nam	0	1
Hoa Binh	Ha Noi	0	1
Vinh Phuc	Tuyen Quang	0	1
Vinh Phuc	Thai Nguyen	0	1
Thai Nguyen	Bac Can	0	1
Thai Nguyen	Lang Son	0	1
Ha Noi	Vinh Phuc	0	1
Ha Noi	Thai Nguyen	0	1
Ha Noi	Bac Giang	0	1
Ha Noi	Bac Ninh	0	1
Ha Noi	Hung Yen	0	1
Bac Ninh	Bac Giang	0	1
Bac Giang	Thai Nguyen	0	1
Bac Giang	Lang Son	0	1
Hung Yen	Bac Ninh	0	1
Hung Yen	Hai Duong	0	1
Thai Binh	Hai Phong	0	1
Thai Binh	Hai Duong	0	1
Thai Binh	Hung Yen	0	1
Ha Nam	Ha Noi	0	1
Ha Nam	Hung Yen	0	1
Ha Nam	Thai Binh	0	1
Hai Duong	Bac Ninh	0	1
Hai Duong	Bac Giang	0	1
Hai Duong	Quang Ninh	0	1
Hai Phong	Quang Ninh	0	1
Hai Phong	Hai Duong	0	1
Nam Dinh	Ha Nam	0	1
Nam Dinh	Thai Binh	0	1
Thanh Hoa	Nghe An	0	1
Nghe An	Ha Tinh	0	1
Ninh Binh	Thanh Hoa	0	1
Ninh Binh	Ha Nam	0	1
Ninh Binh	Nam Dinh	0	1
Ha Tinh	Quang Binh	0	1
Quang Binh	Quang Tri	0	1
Quang Tri	Thua Thien Hue	0	1
Thua Thien Hue	Da Nang	0	1
Thua Thien Hue	Quang Nam	0	1
Da Nang	Quang Nam	0	1
Quang Nam	Quang Ngai	0	1
Quang Ngai	Kon Tum	0	1
Quang Ngai	Binh Dinh	0	1
Quang Ngai	Gia Lai	0	1
Kon Tum	Gia Lai	0	1
Gia Lai	Binh Dinh	0	1
Gia Lai	Phu Yen	0	1
Gia Lai	Dac Lak	0	1
Binh Dinh	Phu Yen	0	1
Phu Yen	Dac Lak	0	1
Phu Yen	Khanh Hoa	0	1
Dac Lak	Dac Nong	0	1
Dac Lak	Khanh Hoa	0	1
Dac Nong	Binh Phuoc	0	1
Dac Nong	Lam Dong	0	1
Lam Dong	Binh Phuoc	0	1
Lam Dong	Dong Nai	0	1
Lam Dong	Binh Thuan	0	1
Lam Dong	Ninh Thuan	0	1
Binh Phuoc	Tay Ninh	0	1
Binh Phuoc	Binh Duong	0	1
Binh Phuoc	Dong Nai	0	1
Binh Thuan	Ninh Thuan	0	1
Binh Thuan	Ba Ria Vung Tau	0	1
Dong Nai	TP HCM	0	1
Dong Nai	Ba Ria Vung Tau	0	1
Dong Nai	Binh Thuan	0	1
Tay Ninh	Binh Duong	0	1
Tay Ninh	TP HCM	0	1
Tay Ninh	Long An	0	1
Ba Ria Vung Tau	TP HCM	0	1
Binh Duong	TP HCM	0	1
Binh Duong	Dong Nai	0	1
TP HCM	Long An	0	1
TP HCM	Tien Giang	0	1
Long An	Dong Thap	0	1
Long An	Tien Giang	0	1
Dong Thap	An Giang	0	1
Dong Thap	Can Tho	0	1
Dong Thap	Vinh Long	0	1
Dong Thap	Tien Giang	0	1
Tien Giang	Vinh Long	0	1
Tien Giang	Ben Tre	0	1
Ben Tre	Vinh Long	0	1
Tra Vinh	Vinh Long	0	1
Tra Vinh	Ben Tre	0	1
Tra Vinh	Soc Trang	0	1
Vinh Long	Hau Giang	0	1
Vinh Long	Can Tho	0	1
Hau Giang	Can Tho	0	1
Hau Giang	Soc Trang	0	1
Hau Giang	Bac Lieu	0	1
Hau Giang	Kien Giang	0	1
Can Tho	Kien Giang	0	1
An Giang	Kien Giang	0	1
An Giang	Can Tho	0	1
Kien Giang	Ca Mau	0	1
Kien Giang	Bac Lieu	0	1
Ca Mau	Bac Lieu	0	1
Bac Lieu	Soc Trang	0	1

